"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 07 12:16:24 EET 2022","Wed Dec 07 12:16:27 EET 2022","2110","Default Suite","JumiaOrder","JumiaTest","JumiaTest","negativeLogin_EmptyField","negativeLogin_EmptyField",""
"passed","Wed Dec 07 12:16:27 EET 2022","Wed Dec 07 12:16:34 EET 2022","7306","Default Suite","JumiaOrder","JumiaTest","JumiaTest","positiveLogin","positiveLogin",""
"passed","Wed Dec 07 12:16:39 EET 2022","Wed Dec 07 12:16:40 EET 2022","939","Default Suite","JumiaOrder","JumiaTest","JumiaTest","removeFromCart","removeFromCart",""
"passed","Wed Dec 07 12:16:18 EET 2022","Wed Dec 07 12:16:20 EET 2022","1876","Default Suite","JumiaOrder","JumiaTest","JumiaTest","negativeLogin_InvalidEmail","negativeLogin_InvalidEmail",""
"passed","Wed Dec 07 12:16:38 EET 2022","Wed Dec 07 12:16:39 EET 2022","1163","Default Suite","JumiaOrder","JumiaTest","JumiaTest","addToCart","addToCart",""
"passed","Wed Dec 07 12:16:40 EET 2022","Wed Dec 07 12:16:42 EET 2022","1291","Default Suite","JumiaOrder","JumiaTest","JumiaTest","logout","logout",""
"passed","Wed Dec 07 12:16:36 EET 2022","Wed Dec 07 12:16:38 EET 2022","2370","Default Suite","JumiaOrder","JumiaTest","JumiaTest","selectProduct","selectProduct",""
"passed","Wed Dec 07 12:16:34 EET 2022","Wed Dec 07 12:16:36 EET 2022","1980","Default Suite","JumiaOrder","JumiaTest","JumiaTest","searchForProduct","searchForProduct",""
"passed","Wed Dec 07 12:16:20 EET 2022","Wed Dec 07 12:16:24 EET 2022","4822","Default Suite","JumiaOrder","JumiaTest","JumiaTest","negativeLogin_InvalidPassword","negativeLogin_InvalidPassword",""
